ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity
24,72,20,14,24.0,19.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.41802590553305685,0.1233405837394177,0.19402710151737237,0.6957804524626264,1.1612643313184798,-0.15584212868170555,4321.0,0.49178430918768806,14180.259055330569
24,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.4433902063958426,0.1299921957719692,0.20905065905203501,0.6884621248227302,1.162060431655932,-0.19114212452903956,5162.0,0.49302595893064705,14433.902063958425
24,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.4433902063958426,0.1299921957719692,0.20905065905203501,0.6884621248227302,1.162060431655932,-0.19114212452903956,5162.0,0.49302595893064705,14433.902063958425
24,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.4433902063958426,0.1299921957719692,0.20905065905203501,0.6884621248227302,1.162060431655932,-0.19114212452903956,5162.0,0.49302595893064705,14433.902063958425
30,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.4063023896596869,0.12023933896371819,0.19285294032901223,0.6845191221187432,1.1417230269768013,-0.14709701527512287,4315.0,0.4917728852838934,14063.02389659687
30,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.4063023896596869,0.12023933896371819,0.19285294032901223,0.6845191221187432,1.1417230269768013,-0.14709701527512287,4315.0,0.4917728852838934,14063.02389659687
30,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.4063023896596869,0.12023933896371819,0.19285294032901223,0.6845191221187432,1.1417230269768013,-0.14709701527512287,4315.0,0.4917728852838934,14063.02389659687
30,72,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.3958243393389236,0.11745293260292611,0.19230587611545877,0.6729784580827336,1.1205716441438325,-0.15858032764062535,4281.0,0.4910067741181967,13958.243393389235
30,72,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.3958243393389236,0.11745293260292611,0.19230587611545877,0.6729784580827336,1.1205716441438325,-0.15858032764062535,4281.0,0.4910067741181967,13958.243393389235
30,72,20,14,24.0,19.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.394942834572231,0.11721788046113168,0.19230683410450716,0.6718828300191517,1.11875760076798,-0.15858032764062724,4282.0,0.4908921064922933,13949.42834572231
24,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.39209133484108416,0.11645685236230774,0.1927103346469332,0.6673314305408944,1.1186044393476442,-0.16042167086941395,4369.0,0.4907301441977569,13920.91334841084
24,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.39209133484108416,0.11645685236230774,0.1927103346469332,0.6673314305408944,1.1186044393476442,-0.16042167086941395,4369.0,0.4907301441977569,13920.91334841084
24,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.3912121875782433,0.1162220097423523,0.19271129021915717,0.6662381383865598,1.1167824175200034,-0.16042167086941472,4370.0,0.49061784897025174,13912.121875782434
