,V1,V2,V3,V4.1,V5,V6,BTC
2023-07-03 04:00:00+00:00,91452.55222577088,89305.17173968218,106775.6680044357,109182.00274422622,104416.81230079904,16791.203243325916,42577.388823883746
2023-07-03 08:00:00+00:00,91452.55222577088,89305.17173968218,106775.58291631806,109182.00274422622,104416.81230079904,16791.203243325916,42459.548718090744
2023-07-03 12:00:00+00:00,91452.55222577088,89305.17173968218,106775.5374832167,109182.00274422622,104416.81230079904,16791.203243325916,42399.7285938809
2023-07-03 16:00:00+00:00,91452.55222577088,89305.17173968218,106775.97575002807,109182.00274422622,104416.81230079904,16791.203243325916,43020.6393275775
2023-07-03 20:00:00+00:00,91452.55222577088,89305.17173968218,106776.16674407663,109182.00274422622,104416.81230079904,16791.203243325916,43278.33666821294
2023-07-04 00:00:00+00:00,91452.55222577088,89305.17173968218,106776.06284407663,109182.00274422622,104416.81230079904,16791.203243325916,43132.802060470945
2023-07-04 04:00:00+00:00,91452.55222577088,89305.17173968218,106776.10062918664,109182.00274422622,104416.81230079904,16791.203243325916,43189.29884444691
2023-07-04 08:00:00+00:00,91452.55222577088,89305.17173968218,106775.81541479839,109182.00274422622,104416.81230079904,16791.203243325916,42791.19037893002
2023-07-04 12:00:00+00:00,91452.55222577088,89305.17173968218,106775.96403874099,109182.00274422622,104416.81230079904,16791.203243325916,43004.71498895682
2023-07-04 16:00:00+00:00,91452.55222577088,89305.17173968218,106775.86703874098,109182.00274422622,104416.81230079904,16791.203243325916,42870.11970948468
2023-07-04 20:00:00+00:00,91452.55222577088,89305.17173968218,106775.59304280097,109182.00274422622,104416.81230079904,16791.203243325916,42490.70503278337
2023-07-05 00:00:00+00:00,91452.55222577088,89305.17173968218,106775.66089330098,109182.00274422622,104416.81230079904,16791.203243325916,42588.74356968283
2023-07-05 04:00:00+00:00,91452.55222577088,89305.17173968218,106775.75876716593,109182.00274422622,104416.81230079904,16791.203243325916,42728.87774954477
2023-07-05 08:00:00+00:00,91452.55222577088,89305.17173968218,106775.66726716593,109182.00274422622,104416.81230079904,16791.203243325916,42602.31387563785
2023-07-05 12:00:00+00:00,91452.55222577088,89305.17173968218,106775.29339057593,109182.00274422622,104416.81230079904,16791.203243325916,42088.71933699363
2023-07-05 16:00:00+00:00,91452.55222577088,89305.17173968218,106775.24339057594,109182.00274422622,104416.81230079904,16791.203243325916,42019.48308212112
2023-07-05 20:00:00+00:00,91452.55222577088,89305.17173968218,106775.31100859608,109182.00274422622,104416.81230079904,16791.203243325916,42123.337464429875
2023-07-06 00:00:00+00:00,91452.55222577088,89305.17173968218,106775.38767802283,109182.00274422622,104416.81230079904,16791.203243325916,42218.052661095455
2023-07-06 04:00:00+00:00,91452.55222577088,89305.17173968218,106775.37029293532,109182.00274422622,104416.81230079904,16791.203243325916,42203.23610255274
2023-07-06 08:00:00+00:00,91452.55222577088,89305.17173968218,106775.6868185214,109182.00274422622,104416.81230079904,16791.203243325916,42638.870618210516
2023-07-06 12:00:00+00:00,91452.55222577088,89305.17173968218,106775.7177295077,109182.00274422622,104416.81230079904,16791.203243325916,42695.228929676734
2023-07-06 16:00:00+00:00,91452.55222577088,89305.17173968218,106775.28201662491,109182.00274422622,104416.81230079904,16791.203243325916,42082.21112903561
2023-07-06 20:00:00+00:00,91452.55222577088,89305.17173968218,106775.18747984861,109182.00274422622,104416.81230079904,16791.203243325916,41949.69293720964
2023-07-07 00:00:00+00:00,91452.55222577088,89305.17173968218,106774.7717889101,109182.00274422622,104416.81230079904,16791.203243325916,41367.83145126114
2023-07-07 04:00:00+00:00,91452.55222577088,89305.17173968218,106775.01291027386,109182.00274422622,104416.81230079904,16791.203243325916,41710.82785789951
2023-07-07 08:00:00+00:00,91452.55222577088,89305.17173968218,106774.88562026797,109182.00274422622,104416.81230079904,16791.203243325916,41531.921375308964
2023-07-07 12:00:00+00:00,91452.55222577088,89305.17173968218,106774.9920014349,109182.00274422622,104416.81230079904,16791.203243325916,41685.76433363567
2023-07-07 16:00:00+00:00,91452.55222577088,89305.17173968218,106775.26429812355,109182.00274422622,104416.81230079904,16791.203243325916,42061.57872508361
2023-07-07 20:00:00+00:00,91452.55222577088,89305.17173968218,106775.11858140067,109182.00274422622,104416.81230079904,16791.203243325916,41857.33177320973
2023-07-08 00:00:00+00:00,91452.55222577088,89305.17173968218,106775.21912389701,109182.00274422622,104416.81230079904,16791.203243325916,41995.80428295473
2023-07-08 04:00:00+00:00,91452.55222577088,89305.17173968218,106775.14747984777,109182.00274422622,104416.81230079904,16791.203243325916,41901.78144883787
2023-07-08 08:00:00+00:00,91452.55222577088,89305.17173968218,106775.0642822452,109182.00274422622,104416.81230079904,16791.203243325916,41783.80287053513
2023-07-08 12:00:00+00:00,91452.55222577088,89305.17173968218,106775.07177580269,109182.00274422622,104416.81230079904,16791.203243325916,41798.342484058354
2023-07-08 16:00:00+00:00,91452.55222577088,89305.17173968218,106775.0830678155,109182.00274422622,104416.81230079904,16791.203243325916,41814.12835016928
2023-07-08 20:00:00+00:00,91452.55222577088,89305.17173968218,106774.98712715703,109182.00274422622,104416.81230079904,16791.203243325916,41680.22543324587
2023-07-09 00:00:00+00:00,91452.55222577088,89305.17173968218,106775.15722686399,109182.00274422622,104416.81230079904,16791.203243325916,41914.65939224415
2023-07-09 04:00:00+00:00,91452.55222577088,89305.17173968218,106775.16153110645,109182.00274422622,104416.81230079904,16791.203243325916,41926.15261055299
2023-07-09 08:00:00+00:00,91452.55222577088,89305.17173968218,106775.13512173132,109182.00274422622,104416.81230079904,16791.203243325916,41887.93419786337
2023-07-09 12:00:00+00:00,91452.55222577088,89305.17173968218,106775.13926767957,109182.00274422622,104416.81230079904,16791.203243325916,41898.042691074756
2023-07-09 16:00:00+00:00,91452.55222577088,89305.17173968218,106775.21876767956,109182.00274422622,104416.81230079904,16791.203243325916,42008.128336322035
2023-07-09 20:00:00+00:00,91452.55222577088,89305.17173968218,106775.10780419355,109182.00274422622,104416.81230079904,16791.203243325916,41857.05482819024
2023-07-10 00:00:00+00:00,91452.55222577088,89305.17173968218,106775.02800105626,109182.00274422622,104416.81230079904,16791.203243325916,41746.41529290398
2023-07-10 04:00:00+00:00,91452.55222577088,89305.17173968218,106775.02575888125,109182.00274422622,104416.81230079904,16791.203243325916,41742.39959012137
2023-07-10 08:00:00+00:00,91452.55222577088,89305.17173968218,106774.98075888125,109182.00274422622,104416.81230079904,16791.203243325916,41680.22543324587
2023-07-10 12:00:00+00:00,91452.55222577088,89305.17173968218,106775.10261868295,109182.00274422622,104416.81230079904,16791.203243325916,41848.469532586045
2023-07-10 16:00:00+00:00,91452.55222577088,89305.17173968218,106775.1818927602,109182.00274422622,104416.81230079904,16791.203243325916,41953.847112501986
2023-07-10 20:00:00+00:00,91452.55222577088,89305.17173968218,106775.69745351172,109182.00274422622,104416.81230079904,16791.203243325916,42683.45876634841
2023-07-11 00:00:00+00:00,91452.55222577088,89305.17173968218,106775.27529146857,109182.00274422622,104416.81230079904,16791.203243325916,42091.35031467878
2023-07-11 04:00:00+00:00,91452.55222577088,89305.17173968218,106775.33899179062,109182.00274422622,104416.81230079904,16791.203243325916,42180.11119342533
2023-07-11 08:00:00+00:00,91452.55222577088,89305.17173968218,106775.40255667688,109182.00274422622,104416.81230079904,16791.203243325916,42273.58013750321
2023-07-11 12:00:00+00:00,91452.55222577088,89305.17173968218,106775.26793349636,109182.00274422622,104416.81230079904,16791.203243325916,42083.59585413306
